City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,stanley,54.868,-1.6985,5.29,84,0,3.09,GB,1727469350
125,mercedes,-34.6515,-59.4307,21.55,51,0,3.66,AR,1727469167
126,akureyri,65.6835,-18.0878,1.96,69,100,1.54,IS,1727469352
127,tari,-11.1105,14.3559,19.0,86,49,1.88,AO,1727469353
128,sikonge,-5.6333,32.7667,23.29,26,14,2.5,TZ,1727469354
129,tobruk,32.0836,23.9764,24.87,73,0,4.49,LY,1727469356
130,nova vicosa,-17.8919,-39.3719,24.68,77,0,6.87,BR,1727469357
131,lospalos,-8.5186,127.0025,20.75,93,8,1.65,TL,1727469358
132,fort-shevchenko,44.5086,50.263,17.48,31,63,8.09,KZ,1727469359
133,viedma,-40.8135,-62.9967,23.72,7,100,9.47,AR,1727469127
134,kailua-kona,19.6406,-155.9956,29.04,76,40,3.6,US,1727469361
135,san ignacio,17.1561,-89.0714,33.08,55,40,3.09,BZ,1727469362
136,menaka,15.9182,2.4022,36.99,22,0,2.55,ML,1727469363
137,celestun,20.8667,-90.4,29.86,68,100,3.89,MX,1727469364
138,bima,-8.4667,118.7167,23.54,89,39,1.03,ID,1727469365
139,opole,50.5,18.0,15.02,93,100,2.14,PL,1727469368
140,maracas,-13.4411,-40.4308,20.36,74,90,4.18,BR,1727469370
141,la'ie,21.6477,-157.9253,27.84,74,56,2.24,US,1727469371
142,singapore,1.2897,103.8501,27.97,85,75,2.06,SG,1727469141
143,vilyuysk,63.7553,121.6247,-0.27,98,95,2.52,RU,1727469373
144,blackmans bay,-43.0167,147.3167,5.07,93,100,0.89,AU,1727469374
145,muli,2.9167,73.5667,28.54,74,48,6.27,MV,1727469375
146,tazacorte,28.629,-17.9293,23.54,94,20,4.63,ES,1727469376
147,san patricio,28.017,-97.5169,31.97,29,0,2.31,US,1727469377
148,ziro,27.6333,93.8333,15.75,100,100,0.79,IN,1727469378
149,susuman,62.7833,148.1667,1.39,70,100,2.27,RU,1727469380
150,coruripe,-10.1256,-36.1756,23.84,82,0,5.37,BR,1727469381
151,ishikawa,26.4233,127.8214,26.69,91,75,1.54,JP,1727469382
152,egilsstadir,65.2653,-14.3948,0.95,69,75,3.6,IS,1727469383
153,yasuj,30.6682,51.588,16.75,31,0,0.0,IR,1727469384
154,norilsk,69.3535,88.2027,1.0,96,100,4.74,RU,1727469385
155,abu jibeha,11.4562,31.2285,24.43,80,12,1.49,SD,1727469386
156,tommot,58.9564,126.2925,1.76,92,100,0.66,RU,1727469387
157,alofi,-19.0595,-169.9187,25.94,65,40,8.23,NU,1727469388
158,nova sintra,14.8667,-24.7167,27.07,83,100,5.83,CV,1727469389
159,pavlogradka,54.2024,73.5592,7.28,71,100,2.1,RU,1727469135
160,sisimiut,66.9395,-53.6735,4.81,97,100,9.96,GL,1727469392
161,fale old settlement,-9.3852,-171.2468,27.89,75,28,5.86,TK,1727469393
162,chui,-33.6971,-53.4616,14.62,84,10,2.74,UY,1727469394
163,salahonda,2.1019,-78.7217,26.26,82,97,6.95,CO,1727469395
164,chonchi,-42.6128,-73.8092,11.18,97,100,2.68,CL,1727469396
165,tobol'sk,58.2,68.2667,7.39,88,17,2.71,RU,1727469397
166,longyearbyen,78.2186,15.6401,-1.09,64,40,8.23,SJ,1727469398
167,bulgan,48.8125,103.5347,2.86,77,100,2.28,MN,1727469399
168,livingstone,-17.8419,25.8543,26.3,25,1,1.72,ZM,1727469125
169,cuellar,41.3679,-4.3084,11.5,45,2,4.32,ES,1727469401
170,ancud,-41.8697,-73.8203,10.05,96,100,7.08,CL,1727469402
171,prado,-17.3411,-39.2208,24.75,79,0,7.44,BR,1727469404
172,lazaro cardenas,17.9583,-102.2,26.2,86,100,3.71,MX,1727469406
173,harnai,30.1005,67.9374,28.59,23,0,2.03,PK,1727469408
174,mugia,43.1041,-9.2179,12.73,76,8,5.94,ES,1727469410
